Count_gastruloid,FileName_raw,ImageNumber,Metadata_FileLocation,Metadata_colrow,Metadata_treatment,PathName_raw
1.0,09H.tif,72,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/09H.tif,09H,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,10A.tif,73,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/10A.tif,10A,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,10B.tif,74,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/10B.tif,10B,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,10C.tif,75,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/10C.tif,10C,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,10D.tif,76,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/10D.tif,10D,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,10E.tif,77,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/10E.tif,10E,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,10F.tif,78,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/10F.tif,10F,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,10G.tif,79,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/10G.tif,10G,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,10H.tif,80,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/10H.tif,10H,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,11A.tif,81,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/11A.tif,11A,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,11B.tif,82,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/11B.tif,11B,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,11C.tif,83,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/11C.tif,11C,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,11D.tif,84,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/11D.tif,11D,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,11E.tif,85,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/11E.tif,11E,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,11F.tif,86,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/11F.tif,11F,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,11G.tif,87,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/11G.tif,11G,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,11H.tif,88,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/11H.tif,11H,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,12A.tif,89,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/12A.tif,12A,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,12B.tif,90,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/12B.tif,12B,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,12C.tif,91,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/12C.tif,12C,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,12D.tif,92,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/12D.tif,12D,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,12E.tif,93,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/12E.tif,12E,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,12F.tif,94,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/12F.tif,12F,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,12G.tif,95,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/12G.tif,12G,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,12H.tif,96,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/12H.tif,12H,pre2i_cleaned,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
