ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_colrow,Metadata_treatment,FileName_raw,PathName_raw,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensity_gfp_bgCorr,Intensity_MeanIntensity_gfp_bgCorr,Intensity_StdIntensity_gfp_bgCorr,Number_Object_Number,RadialDistribution_RadialCV_gfp_bgCorr_1of4,RadialDistribution_RadialCV_gfp_bgCorr_2of4,RadialDistribution_RadialCV_gfp_bgCorr_3of4,RadialDistribution_RadialCV_gfp_bgCorr_4of4
52,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/07D.tif,0,0,07D,pre2i,07D.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images,10596,142.17110230275577,132.16062665156662,1.9189727601733755,0.8970475558913305,116.15182398918144,1,0.6709726443768997,0.5211121391372183,179.9928514810317,167.5857989210303,35.4400902933387,14.180789938233614,13.152946437965905,83.0240766121328,79.54496532963827,-1.40388920509412,505.4873734152916,0.8798472141492983,144.0995123386383,0.013599425475522679,0.024511744645354345,1,1.340243825980323,0.8096618569808107,0.7915387423162666,1.0382590787218244
53,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/07E.tif,0,0,07E,pre2i,07E.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images,11856,153.47452766531714,114.58071862348179,1.5616722473484597,0.8984579100178798,122.86385978952512,1,0.5330935251798561,0.6403392271956457,191.3735860957136,177.88198334851114,42.95346318982906,15.695482524226431,14.7648230602334,90.81183799606123,84.02442140159962,-0.555959951211698,482.35743110038044,0.9157333745269174,125.45683932304382,0.010581717216855923,0.026458868138371925,1,2.081795063479553,2.213597051158269,2.6457513110645907,2.6415348248600337
54,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/07F.tif,0,0,07F,pre2i,07F.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images,12964,159.2858685590867,116.18103980253008,1.3164535704022298,0.7176157873163973,128.47675843492723,1,0.7384370015948963,0.7596166112371587,155.00650707330135,154.74172029546526,52.32590180780452,18.89630437457121,17.0,112.64015659634347,107.95261028457332,1.4680834663110245,463.1025971044414,0.9496740165555637,234.90843179821968,0.018120057991223362,0.029181573753899518,1,1.4109411566419043,1.1491963605911828,1.4386214338229948,1.979011597728659
55,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/07G.tif,0,0,07G,pre2i,07G.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images,12876,172.9558092575334,107.46683752718235,1.926093686598971,0.9029979249546984,128.03996398785011,1,0.5100415923945336,0.5191855447933922,202.7870759236759,194.83326204732086,42.01190307520001,15.358164729225145,14.317821063276353,92.46097507760813,87.12643471030785,-0.5400506432392312,558.2569260369921,0.8686500708358632,256.8922248184681,0.019951244549430577,0.031149638638328363,1,0.9619819852878082,1.10361073321802,1.2158600753859865,1.7443810048659256
56,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/07H.tif,0,0,07H,pre2i,07H.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images,14548,173.4176519109156,111.53725598020347,1.7682231295038202,0.7180057189355521,136.09955509408232,1,0.6618744313011828,0.5655394861171221,166.84639988724845,172.2614292289484,48.373546489791295,17.946020531526372,16.278820596099706,120.5007031036585,116.13130146208916,0.9562540200329686,568.5584412271571,0.931131592421915,118.62635111808777,0.008154134665802018,0.023545834323372997,1,0.0,2.6457513110645907,1.690642498340654,2.140449319375337
57,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/08A.tif,0,0,08A,pre2i,08A.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images,14070,117.12132196162047,151.11144278606966,3.4009483967699046,0.8492957128456126,133.84498643738488,1,0.6185159134868999,0.2940356286939735,192.84150783806732,189.08463713374496,45.27692569068709,15.97688777573398,14.317821063276353,105.2932559521703,101.80438942429329,0.28360673005090314,775.4467888754755,0.862502298780114,306.4892708957195,0.021783174903746944,0.03559940996748694,1,0.0,2.329102918178775,1.717657264690526,1.5866323640270754
58,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/08B.tif,0,0,08B,pre2i,08B.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images,11372,140.97159690467817,133.81155469574392,1.5130842078046582,0.8488753840420474,120.32988034037211,1,0.59626677852349,0.6609017494478415,171.1966064982704,160.18114745499858,42.190046219457976,15.739899712588862,14.7648230602334,99.82410129955126,90.49333149768064,-1.0207508694021128,465.00209204105306,0.9029696680959187,354.6449146568775,0.031185799741195702,0.043131482941144786,1,0.6077239071979983,1.2907919819217255,1.748235154192367,1.663051230101169
59,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/08C.tif,0,0,08C,pre2i,08C.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images,11799,137.70243240952624,135.23663022290026,1.7322876194834287,0.9306526633906701,122.56815813387335,1,0.5077022375215147,0.5772713426758784,207.35026347595314,192.7200041511,34.9857113690718,14.59819233636109,13.892443989449804,76.47637729698137,75.87025763004317,-0.9265246171267643,506.8010819142764,0.9136595942388106,202.09569519758224,0.01712820537313181,0.028226429899363338,1,0.0,2.6457513110645903,1.9279924872616765,2.2726478988639824
60,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/08D.tif,0,0,08D,pre2i,08D.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images,11978,142.0376523626649,126.63257639004843,1.6578957945734543,0.9308311932289817,123.4943855680807,1,0.6341928310478107,0.6031742183514504,208.7639460205647,194.18032856085088,37.8021163428716,14.984707929697596,14.142135623730951,81.01968072273043,76.29266617016836,-1.308019600115037,499.5462479183374,0.9213846153846154,304.02590504288673,0.0253820258008755,0.037032543519669295,1,1.079638753344687,1.3215155297614938,1.5597787233746987,1.7426997339510306
61,1,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/08E.tif,0,0,08E,pre2i,08E.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images,12058,143.28230220600432,121.62149610217283,1.6281866338068853,0.8438536497714665,123.90610328154376,1,0.6030507626906727,0.614180204674624,172.38496218979085,166.5322791533221,43.840620433565945,16.580794607735292,15.231546211727817,94.85716293670572,92.49718594247223,0.9575941624868435,496.70057685088807,0.9107938666062392,195.34362855553627,0.016200334098153614,0.03339790480642096,1,1.671190360860092,1.456224073003309,2.031523765649045,2.30076539361558
